scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,42.00000000,2100,Medium,0,1,1,NWPR,200,23.49750305,1,21.95223326,1,23.48143017,0.40491734,1,1,-0.09147413,-0.11684309,0.08190025,-0.00303367,4501.41745605,447.74287556,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03107731,0.00000011,1,0.09524861,0.00613049,0.43492440,0.99999945,4501.26214850,0.15530756,0.00545182,0.02562549,447.74973682,-0.00686125,24.00000000
pullin_24db_fm62p5_cp0p3,43.00000000,2150,Medium,0,1,1,NWPR,200,23.44386340,1,23.92815146,1,23.48383370,0.35826052,1,1,-0.32880967,-0.12673134,0.07768693,-0.00264959,4501.37891094,453.64381412,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02910286,0.00000011,1,0.09282337,0.00600574,0.71269056,0.99999985,4501.26706298,0.11184796,0.00438443,0.02471843,453.64916630,-0.00535218,24.00000000
pullin_24db_fm62p5_cp0p3,44.00000000,2200,Medium,0,1,1,NWPR,200,23.47221681,1,18.10744720,1,23.01692108,0.43449326,1,1,-0.10381417,-0.12557794,0.07462379,-0.00125951,4501.38915084,459.54467180,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02858095,0.00000011,1,0.09265808,0.00591517,0.34303843,0.99999994,4501.27093241,0.11821843,0.00336220,0.02521875,459.54860153,-0.00392974,24.00000000
pullin_24db_fm62p5_cp0p3,45.00000000,2250,Medium,0,1,1,NWPR,200,23.49483721,1,24.66104901,1,23.56418124,0.45729712,1,1,-0.28088687,-0.13216799,0.07187227,0.00039011,4501.35855772,465.45519462,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02698407,0.00000011,1,0.09129411,0.00581518,0.52219278,0.99999998,4501.27380339,0.08475433,0.00238799,0.02459608,465.44804118,0.00715345,24.00000000
pullin_24db_fm62p5_cp0p3,46.00000000,2300,Medium,0,1,1,NWPR,200,23.42082384,1,22.15384847,1,22.43743486,0.45368520,1,1,-0.45463242,-0.13211634,0.06939957,0.00099549,4501.36247187,471.36609484,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02637539,0.00000011,1,0.09310744,0.00575557,0.55113091,0.99999999,4501.27572530,0.08674657,0.00146451,0.02491088,471.34748396,0.01861088,24.00000000
pullin_24db_fm62p5_cp0p3,47.00000000,2350,Medium,0,1,1,NWPR,200,23.35126207,1,22.13562982,1,23.22004264,0.55963979,1,1,-0.30136259,-0.13195650,0.06700617,0.00000582,4501.36991162,477.26002621,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02588734,0.00000011,1,0.09323285,0.00567997,0.37868372,1.00000000,4501.27675020,0.09316143,0.00059437,0.02529297,477.24692866,0.01309755,24.00000000
pullin_24db_fm62p5_cp0p3,48.00000000,2400,Medium,0,1,1,NWPR,200,23.21162379,1,21.99391196,1,22.94208747,0.51541909,1,1,0.00000000,-0.13261764,0.06476834,0.00032675,4501.36781763,483.16157188,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02518346,0.00000011,1,0.09408268,0.00561537,0.28103839,1.00000000,4501.27693263,0.09088500,-0.00022002,0.02540347,483.14637415,0.01519772,24.00000000
pullin_24db_fm62p5_cp0p3,49.00000000,2450,Medium,0,1,1,NWPR,200,23.19328611,1,23.15630687,1,23.18979630,0.57813702,1,1,0.00000000,-0.13016182,0.06291524,0.00037862,4501.38116116,489.06250898,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02489249,0.00000011,1,0.09459092,0.00554986,0.38768476,1.00000000,4501.27632952,0.10483165,-0.00097634,0.02586883,489.04581936,0.01668962,24.00000000
pullin_24db_fm62p5_cp0p3,50.00000000,2500,Medium,0,1,1,NWPR,200,23.21716883,1,22.20344827,1,22.81213724,0.51155620,1,1,-0.33169931,-0.13513563,0.06096603,0.00001845,4501.35689091,494.96060527,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02370724,0.00000011,1,0.09409660,0.00547697,0.49248318,1.00000000,4501.27500000,0.08189091,-0.00167249,0.02537973,494.94526330,0.01534197,24.00000000
pullin_24db_fm62p5_cp0p3,51.00000000,2550,Medium,0,1,1,NWPR,200,23.22123150,1,22.50275878,1,23.24778565,0.55713534,1,1,-0.05838669,-0.12979192,0.05863519,-0.00106575,4501.37842890,500.85536359,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02365641,0.00000011,1,0.09265337,0.00539806,0.23014535,1.00000000,4501.27300525,0.10542365,-0.00230650,0.02596291,500.84470505,0.01065854,24.00000000
