scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,31.00000000,1550,Medium,0,1,1,NWPR,200,21.51794635,1,22.24904860,0.73726814,1,1,0.06300621,0.02970408,0.03878235,-0.01952288,4501.14669454,290.59841007,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03590387,0.00000014,1,0.12276487,0.01165118,0.13139215,1.00000000,4501.12892477,0.01776977,0.01924985,0.01665402,290.59724570,0.00116438,22.00000000
pullin_22db_fm62p5_cp0p30,32.00000000,1600,Medium,0,1,1,NWPR,200,21.56790934,1,22.87425438,0.72835438,1,1,-0.28880168,0.01890865,0.03735546,-0.01858437,4501.15078020,293.51669126,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03403570,0.00000014,1,0.12183435,0.01116887,0.17002517,1.00000000,4501.14750095,0.00327926,0.01790345,0.01613224,293.52006279,-0.00337153,22.00000000
pullin_22db_fm62p5_cp0p30,33.00000000,1650,Medium,0,1,1,NWPR,200,21.75696922,1,20.42515343,0.78182662,1,1,-0.05060461,0.01178640,0.03665235,-0.01839305,4501.15919428,296.43431428,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03258944,0.00000013,1,0.11954006,0.01067617,0.32056871,1.00000000,4501.16473417,-0.00553989,0.01656456,0.01602489,296.44289151,-0.00857723,22.00000000
pullin_22db_fm62p5_cp0p30,34.00000000,1700,Medium,0,1,1,NWPR,200,21.80113054,1,20.65928288,0.76796387,1,1,-0.08283782,0.00285687,0.03487928,-0.01782462,4501.14842486,299.34981172,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03025336,0.00000013,1,0.11251811,0.01006755,0.20553541,1.00000000,4501.18063380,-0.03220894,0.01523688,0.01501647,299.36573099,-0.01591926,22.00000000
pullin_22db_fm62p5_cp0p30,35.00000000,1750,Medium,0,1,1,NWPR,200,21.83424565,1,22.92787200,0.71692756,1,1,0.02053066,0.00967315,0.03379028,-0.01658468,4501.19436139,302.26982319,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03106917,0.00000013,1,0.11246703,0.00973345,0.15427727,1.00000000,4501.19521291,-0.00085153,0.01392413,0.01714504,302.28858036,-0.01875717,22.00000000
pullin_22db_fm62p5_cp0p30,36.00000000,1800,Medium,0,1,1,NWPR,200,21.83428557,1,22.80018239,0.70442811,1,1,0.16529224,0.01480730,0.03243903,-0.01518497,4501.24414544,305.19319299,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03200436,0.00000012,1,0.11265812,0.00943033,0.10665039,1.00000000,4501.20848826,0.03565718,0.01262995,0.01937440,305.21143877,-0.01824578,22.00000000
pullin_22db_fm62p5_cp0p30,37.00000000,1850,Medium,0,1,1,NWPR,200,21.74113791,1,20.55631651,0.66139489,1,1,-0.52850087,0.00972520,0.03215407,-0.01348749,4501.25334307,308.12288144,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03089997,0.00000012,1,0.11045546,0.00908067,0.52584938,1.00000000,4501.22048021,0.03286285,0.01135795,0.01954202,308.13430539,-0.01142395,22.00000000
pullin_22db_fm62p5_cp0p30,38.00000000,1900,Medium,0,1,1,NWPR,200,21.76285365,1,21.69443138,0.71633424,1,1,0.15864124,0.00246552,0.03171126,-0.01302082,4501.24473995,311.04344814,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02907846,0.00000012,1,0.11022402,0.00881111,0.43966336,1.00000000,4501.23121273,0.01352722,0.01011166,0.01896680,311.05717938,-0.01373124,22.00000000
pullin_22db_fm62p5_cp0p30,39.00000000,1950,Medium,0,1,1,NWPR,200,21.76339847,1,20.87147821,0.67274363,1,1,0.31000850,0.00385826,0.03078869,-0.01224229,4501.28274931,313.96859506,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02947941,0.00000012,1,0.10856042,0.00852323,0.34005456,1.00000000,4501.24071326,0.04203604,0.00889456,0.02058485,313.98005995,-0.01146489,22.00000000
pullin_22db_fm62p5_cp0p30,40.00000000,2000,Medium,0,1,1,NWPR,200,21.67725430,1,22.24587504,0.68043968,1,1,-0.09238468,-0.00077843,0.03068586,-0.01087029,4501.29559416,316.89608558,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02876261,0.00000012,1,0.11044727,0.00834224,0.41382482,1.00000000,4501.24901270,0.04658146,0.00771003,0.02105258,316.90294628,-0.00686070,22.00000000
pullin_22db_fm62p5_cp0p30,41.00000000,2050,Medium,0,1,1,NWPR,200,21.64116840,1,18.78329516,0.66325510,1,1,0.07113540,-0.00698786,0.03011240,-0.01030490,4501.29161486,319.81982916,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02740753,0.00000012,1,0.11013377,0.00812002,0.33488166,1.00000000,4501.25614528,0.03546957,0.00656138,0.02084615,319.82583763,-0.00600847,22.00000000
pullin_22db_fm62p5_cp0p30,42.00000000,2100,Medium,0,1,1,NWPR,200,21.53419169,1,21.25645617,0.73152253,1,1,0.15984599,-0.00363980,0.02896370,-0.00936833,4501.33274814,322.75131088,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02795816,0.00000011,1,0.10597531,0.00782677,0.18064425,1.00000000,4501.26214850,0.07059965,0.00545182,0.02250634,322.74873324,0.00257764,22.00000000
pullin_22db_fm62p5_cp0p30,43.00000000,2150,Medium,0,1,1,NWPR,200,21.48989370,1,21.37356650,0.70090896,1,1,0.18769032,-0.00193469,0.02821014,-0.00884853,4501.36164545,325.66778596,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02799640,0.00000011,1,0.10538869,0.00763043,0.16859448,1.00000000,4501.26706298,0.09458247,0.00438443,0.02361197,325.67163239,-0.00384644,22.00000000
pullin_22db_fm62p5_cp0p30,44.00000000,2200,Medium,0,1,1,NWPR,200,21.53123083,1,21.85648048,0.48864627,1,1,0.27466148,-0.00477101,0.02777561,-0.00909383,4501.37583661,328.58888299,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02747983,0.00000011,1,0.10427836,0.00743585,0.31894037,1.00000000,4501.27093241,0.10490420,0.00336220,0.02411763,328.59453440,-0.00565141,22.00000000
pullin_22db_fm62p5_cp0p30,45.00000000,2250,Medium,0,1,1,NWPR,200,21.53073804,1,21.59731616,0.43431959,1,1,-0.63829718,-0.01058802,0.02778655,-0.00865204,4501.38153493,331.51357027,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02668533,0.00000011,1,0.10449252,0.00727876,0.55455237,1.00000000,4501.27380339,0.10773154,0.00238799,0.02429734,331.51743858,-0.00386831,22.00000000
pullin_22db_fm62p5_cp0p30,46.00000000,2300,Medium,0,1,1,NWPR,200,21.55009797,1,23.46942690,0.44942573,1,1,0.00000000,-0.01282226,0.02702987,-0.00788923,4501.39044026,334.44285418,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02605834,0.00000011,1,0.10429649,0.00712311,0.28657984,1.00000000,4501.27572530,0.11471495,0.00146451,0.02459382,334.44034432,0.00250985,22.00000000
pullin_22db_fm62p5_cp0p30,47.00000000,2350,Medium,0,1,1,NWPR,200,21.55130647,1,22.36827783,0.37921516,1,1,-0.53055083,-0.01649022,0.02705618,-0.00710667,4501.38167354,337.37000443,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02486585,0.00000011,1,0.10353863,0.00696643,0.71639961,1.00000000,4501.27675020,0.10492335,0.00059437,0.02427148,337.36325102,0.00675341,22.00000000
pullin_22db_fm62p5_cp0p30,48.00000000,2400,Medium,0,1,1,NWPR,200,21.60875707,1,20.81240552,0.48621921,1,1,-0.24962782,-0.02387594,0.02661197,-0.00639575,4501.35847261,340.29875857,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02326941,0.00000011,1,0.10263960,0.00681651,0.51012104,1.00000000,4501.27693263,0.08153999,-0.00022002,0.02348942,340.28615810,0.01260047,22.00000000
pullin_22db_fm62p5_cp0p30,49.00000000,2450,Medium,0,1,1,NWPR,200,21.52547704,1,19.88719801,0.53130109,1,1,0.18237216,-0.02603495,0.02609231,-0.00655443,4501.36035493,343.22136999,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02257986,0.00000011,1,0.10319997,0.00669853,0.33813793,1.00000000,4501.27632952,0.08402541,-0.00097634,0.02355621,343.20906505,0.01230495,22.00000000
pullin_22db_fm62p5_cp0p30,50.00000000,2500,Medium,0,1,1,NWPR,200,21.40039913,1,20.20145651,0.46478561,1,1,0.07485088,-0.02523699,0.02578348,-0.00754139,4501.37587323,346.13995140,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02235663,0.00000011,1,0.10048688,0.00653608,0.43286171,1.00000000,4501.27500000,0.10087323,-0.00167249,0.02402912,346.13197136,0.00798004,22.00000000
